Timestamp,RollNo,Topic,YourAnalysis
08-01-25 16:53,50,"Level of Measurements: Nominal (we can only count, it is discrete), Ordinal (we can count them as well as sort them like in order, they are discrete), Interval (It is continuous, zero doesnt mean anything in it zero is arbitrary in it, we can add and subtract but not divide and multiply), Ratio (It is continuous, zero has a meaning in it, we can multiply and divide it).  Machine Learning y = f(x) (we know y and x ML basically gives us f(x)) Supervised ML (we have y) Unsupervised (y isnt available to us) Based on level of measurement we can use classification techniques or regression techniques. ","Different measurement levels determine appropriate statistical and ML approaches. Studying statistics is very important in ML as we wont be able to understand data characteristics which is important in order to chose the right ML model (regression, classification),"
08-01-25 17:12,167,Levels of Measurement,"Levels of measurement refers to the types of data we deal with in statistics. Normative data such as colours, gender, etc. does not have any order. Ordinal data has order such as rankings. Data could also be in an interval such as temperature.

But even for temperature, we have different scales with different zero points. So it does not make sense to take ratios of 2 temperatures in celsius. However, we can take ratio of absolute temperatures.

These levels are important as they play an important role in deciding how to use the data during analysis."
08-01-25 17:26,100,Levels of Measurement and Introduction to fundamental methods of Machine Learning : Classification and Regression,"In today's lecture we started off by understanding the levels of measurement: Nominal, Ordinal, Interval and Ratio. Nominal refers to quantities that can be counted and do not have a defined hierarchical order. Ordinal quantities can be counted and have an order. Interval quantities are continuous values which can have infinite precision in theory, for example Temperature. Ratio quantities are similar to intervals but ratio quantities can have absolute zero value and have the same meaning, i.e. an object having 0 height means it is 2 dimensional so height is a ratio quantity. Followed by this, we moved to the most basic categories of Machine Learning: Classification and Regression. We first defined the aim of ML, i.e. for an equation y = f(x), given the values of y for the corresponding values of x, ML is used to find the function f, where y is defined as the output or predicted and x is defined as the input or predictor. Moreover, we discussed what kinds of problems are classification problems and what are regression problems. If the variable y is continuous then the problem is regression and if y is discrete then the problem is a classification problem. We also discussed about how data points can be clustered into groups and defined as discrete values, in the case of temperature vs vibration graph. Towards the end of the class, we looked upon the crucial method of one-hot encoding which allows us to give different labels to all the classes in a problem and use it as a switch, this method allows us to eliminate unintentional creation of biases in a model, which could happen if we use a single column for gender and assign male the value 1 and females 0. "
08-01-25 18:01,86,Encoding Discrete Data,"Machine learning models cant work with categorical data directly and have to be encoded numerically for the computer to understand it. Ordinal data is numeric by nature and thus does not need any special sort of encoding however nominal data (colors, gender etc) which does not have any intrinsic order needs to be encoded somehow. Now the first thought that comes to mind is to assign values like 0, 1, 2 to each category but that sort of implies a false ordering where the computer might perceive a certain category to hold greater importance and value than another and that would interfere with the analysis of data. Thus one way of encoding discrete data is ""One-hot encoding"" where for each category a column would be drawn and a 1 would indicate presence of that feature while a 0 would mean its absence. Its technically switching on/off the feature and using binary representation for the same. There are other effective encoding techniques which hopefully be discussed later. "
08-01-25 18:07,60,"After reiterating about the fact that statistics and machine learning are interconnected, today's class began with the discussion of different levels of measurement. These are: 1. Nominal - This is the simplest level of measurement and the grouping is solely based on the distinguishable properties without any order. They represent discrete data. Eg: {red, blue, green, gender} 2. Ordinal - Here, apart from grouping based on their distinguishable properties, they can also be ranked/ordered. They again represent discrete data. Eg: Grades 3. Interval - In this classification, the values between intervals are meaningful and consistent. In other words, they represent continuous data and can be ordered. Eg: Temperature 4. Ratio - This classification contains the properties of all the above levels and in addition to it, it allows the calculation of meaningful ratios between values. Eg: height, weight  In machine learning context, in Y=f(X): Y stands for the response variable/output/predicted variables and X stands for inputs/features/predictors.  Further in the class, a particular case of Y=f(X) where X stands for advertising expense and Y stands for sales was discussed using a scatter plot. Another example of a graph between temperature and vibrations was plotted with scatter plot. With these two examples, regression and classification was explained. Classification works with discrete data and regression with continuous data. Most ML algorithms are applicable to both classification and regression. Eg: Random Forest. It is commonly preferred to convert regression problems to classification problems.   Next, the encoding technique was discussed with the example of gender. It is fundamentally incorrect to replace a data containing 'M' and 'F' for representation of gender to '0's and '1's since numbers can be ordered. Hence the encoding technique comes into play to bypass this issue by representing each gender with a vector of 0 and 1.   Supervised learning is where Y is available and Y is unavailable in case of unsupervised learning. As expected, more discovery is necessary in unsupervised learning and one of the techniques which can be used in unsupervised learning is related to calculating the distance (norm) between variables. ","The particular topic chose to do a short research on and submit my analysis on is One Hot Encoding. 

What is One-Hot Encoding?
One-Hot Encoding (OHE) is one of the encoding techniques that is used to convert categorical variables into binary format. Each category is represented as a vector with a 1 in the position corresponding to that category and 0s elsewhere.

For example:
Gender:

M = [1, 0]

F = [0, 1]

Why is it necessary?
In machine learning, models work with numerical inputs. If we directly assign numbers to categories (like M ? 0, F ? 1), the model might assume a false order or priority as mentioned in the summary section, which is incorrect for nominal data. OHE avoids this by treating all categories equally and independently.

Advantages:
- Prevents false assumptions of order in nominal data
- Makes categorical data usable in most ML models
- Simple to implement

Disadvantages:
- Can lead to high dimensionality if the feature has many unique categories (sparse data)
- May increase memory usage and slow down training for large datasets

Other Encoding Techniques:
In addition to One-Hot Encoding, there are other powerful encoding techniques depending on the type of data and use case. For text data, Bag of Words and n-grams are widely used:
- Bag of Words creates a vocabulary from the dataset and represents each sentence as a count vector.
- n-grams capture sequences of n words, which help preserve some context and word order, unlike bag of words.

These techniques are particularly useful in Natural Language Processing (NLP) tasks like sentiment analysis or document classification."
08-01-25 18:20,95,Levels of Measurement ,"Measurement of different quantities are under different sections which are NOMINAL, ORDINAL, INTERVAL and RATIO. In NOMINAL type, there are different quantities but they can't be ordered like name of different colours. ORDINAL can be ordered and are discrete. INTERVAL can be ordered and are continuous. INTERVAL don't have definition of zero but RATIO have a definition of zero and we can say like 10 units is twice as much as 5 units."
08-01-25 18:48,46,"Today we learnt about the levels of measurement i.e. the way in which variables can be classified based on what operations we can perform on them. The 4 levels of measurement are nominal, ordinal, interval and ratio, out of which the former two are discrete and the latter two are continuous. Nominal data variables can just be counted and not sorted; ordinal can be sorted as well. Then come interval data types that are continuous, for example, temperature in celcius. Ratio type goes a step further, i.e., it is continuous and zero makes sense for this scale. In machine learning, for the function y=f(x),  where y is discrete, we use the classification algorithm, whereas for continuous y, we use regression.","One of the questions raised in class was if price is discrete or continuous. In my view, even though price is usually conveyed in rounded up figures, creating a confusion of it being discrete, practically any value of price makes sense. So, this should be considered a continuous data type. "
08-01-25 18:50,187,Levels/Scales of Measurement,"Levels of Measurement:

The four levels of measurement�nominal, ordinal, interval, and ratio�build on one another, with each level adding new features to the previous one.

Nominal Level:
- Data can be categorised by labelling them into mutually exclusive groups, but no order can be established.
- The mathematical operations that can be performed are equality (=, ?).
- Examples include: city of birth, gender, and car brands.

Ordinal Level:
- Data can be categorised (like nominal) and ranked in order, but there is no sense of equal intervals in the rankings.
- The mathematical operations applicable here are equality (=, ?) and comparison (>, <).
- Examples include: grades, movie ratings (1 to 10), and pain scales (1 to 10).

Interval Level:
- Data can be categorised (like nominal), ranked (like ordinal), and infer equal intervals (the difference between two temperatures is the same), but it does not have a true zero point.
- The mathematical operations that can be performed include equality (=, ?), comparison (>, <), and addition/subtraction (+, ?).
- Examples include: temperature in Fahrenheit or Celsius, test scores, and calendar years.

Ratio Level:
- Data can be categorised (like nominal), ranked (like ordinal), inferred from equal intervals (like interval), and have a true zero point.
- The mathematical operations that can be performed are equality (=, ?), comparison (>, <), and all arithmetic operations (+, ?, �, �).
- Examples include: temperature in Kelvin, height, weight, and age.

The level at which you measure a variable determines how you can collect and analyze your data, as well as how you can draw conclusions from the data.

References:
- https://www.scribbr.com/statistics/levels-of-measurement/

Made with help from Grammarly."
08-01-25 19:27,156,In today's session I have learned an important connection between stats and ml through level of measurement. Nominal and Ordinal are discrete while Interval and ratio are continuous. All mathematical operations are not applicable to all four of these like as for nominal only frequency operation is valid and for ordinal is ordering them. The key difference between interval and ratio can be understood by taking temperature in degree celsius/f and Kelvin scale. Division is not significant in interval. Ordinal belong to classification while the other two belong to regression. We had a short insight on supervised and unsupervised ml where the predicted variable is available and not available respectively. Importance of one-hot encoding is necessary to tell our model the distance between the value of nominal labels doesn�t make sense and also can�t be ordered.,"I am analyzing what are some of the mathematical operations valid and not valid for ORDINAL level of measurement. Possible operations include frequency, ordering, mode, and median (as ordering is possible). For example, out of 40 students, 10 students got A grade, 15 B, 10 C, and 5 D � A being given to best performers. We can count each division and also order them. Mode will indicate which grade the class students have in maximum. Algebraic operations do not make sense as they are not numeric data types; to be specific, we don�t know if the spacing between the grades is equal or not. This is the reason why mean and other operations like standard deviation and variance are not defined for ordinal."
08-01-25 19:28,102,Levels of Management,"I had never heard of this classification in statistics before, so learning about it was quite interesting. Especially learning it through the context of everyday examples like grades, gender, temperature, etc. There are four levels: Nominal, Ordinal, Interval, and Ratio. In nominal; Data are categorized without any order or ranking and operations allowed are classification, counting, mode. Eg: Gender, colors (red, green blue). Ordinal includes Data have a meaningful order but intervals between values are not uniform or meaningful. Operations like ordering, medians and nominal operations can be performed. Eg: grades. Interval are ordered data with equal intervals but no true zero point. Addition, subtraction, mean, std deviation and ordinal level operations can be performed on them. Eg: Temperature in Celsius, Fahrenheit. Ratio level is like interval data, but with a meaningful zero, allowing full mathematical operations. Multiplication, division and all interval level operations are allowed here. Eg: Height, Weight, Temperature in Kelvin."
08-01-25 19:30,136,Levels Of Measurement,"Levels Of Measurement:
(i) Nominal:- This measurement is used in classifying the data into groups based on different properties of that set of data. It is Discrete. For example, different colors data, Gender, etc. 
(ii) Ordinal:- This does ordering of the data, into different groups. It is Discrete. For example, sorting a data containing marks into different grades
(iii) Interval:- in this the data are numeric and can be sort. It is Continuous. For example, Temperature. It can be relative, like we can�t say 20�C is twice 10�C.
(iv) Ratio:- Ratio is similar to interval but it is on absolute scale. It is Continuous. For example, Height, Weight, Temperature, etc. We can say 20 kg is twice 10 kg."
08-01-25 19:36,188,Levels of measurement.,"We learnt about the levels of measurement in today's session. The four levels of measurement and their descriptions with examples are as follows:

1) Nominal Level: This is used to represent categorical data without any order or ranking. Only equality and inequality can be assessed. 
Examples are gender, identically shaped but differently coloured balls and blood group.

2) Ordinal Level: Data is sorted into categories that have a meaningful order but intervals between them are not uniform or defined. 
Examples are grades, race rankings and cancer stages.

3) Interval Level: Quantitative data with equal and measurable intervals between values. Zero does not imply non-existence.
Examples are temperature in Celsius and Fahrenheit Scales, and calendar years.

4) Ratio Level: This level has all the properties of interval data. Additionally, zero implies non-existence.
Examples are height, weight and age."
08-01-25 19:38,154,"There are four types of level of measurement. Each of them can be easily distinguished by the mathematical operations which can be done with it. discrete ones are nominal,ordinal and continous ones are interval,ratio. Machine learning helps us to find the function between the input and output there are two possibilies regression or classification, regression for continous and classification for discrete.Then depending on whether there is output variable i.e . y there are two types of ml:- supervised and unsupervised learning","There are different types of data useful for different things. Like in nominal , there is only counting possible but in ordinal there is counting , ranking as well as median . In interval everything allowed except multiplication and division and in ratio , everything is allowed. Also for using ML you have to take different steps for continous and discrete data. in discrete data we have to create like a switch for different sections like male, female or red,blue,green"
08-01-25 19:41,36,"Summary of the Lecture: The lecture introduces fundamental concepts in data measurement and machine learning, outlining how the nature of data dictates the types of analysis and predictive modeling that can be performed. Topics Covered: �	Levels of Measurement: Data can be categorized into four main levels of measurement, each with distinct properties and allowable operations. o	Nominal: This is the most basic level where data is categorized without any natural order. Examples include colors like red, blue, and green, or gender. The primary operation is counting the frequency of each category. o	Ordinal: This level introduces the concept of order. An example is academic grades (AP, AA, AB), which can be ranked. o	Interval: This data is continuous and can be ordered. A key characteristic is that the difference between values is meaningful, but the zero point is arbitrary. For instance, 1�C is not twice as hot as 0.5�C because 0�C does not signify the absence of temperature. o	Ratio: This level has all the properties of interval data but with a true, meaningful zero. Height, weight, and temperature in Kelvin are examples. The Kelvin scale is considered a ratio scale because 0K represents an absolute zero. �	Machine Learning (ML) Fundamentals: o	The core idea of ML is represented by the function  y=f(x), where 'y' is the response variable and 'x' represents the input features or predictors. o	A practical example is predicting sales based on advertising expenses, where sales is the response variable (y) and advertising expense is a predictor (x). o	The response variable's nature (discrete or continuous) determines the type of  problem. �	Types of ML Problems: o	Classification: This is used when the response variable is categorical (nominal or ordinal). The goal is to classify data into predefined categories. For example, categorizing risk as ""low,"" ""medium,"" or ""high"" based on temperature and vibration data. o	Regression: This is applied when the response variable is continuous (interval or ratio). The objective is to predict a continuous value. An example is predicting sales figures based on advertising expenses. o	It's noted that many machine learning algorithms can be used for both regression and classification tasks. �	Data Transformation: o	Sometimes, it is beneficial to convert a regression problem into a classification problem. For instance, instead of predicting the exact height (a ratio scale), one might categorize individuals as ""above"" or ""below"" a certain height limit. o	Categorical data like gender (nominal) can be converted into a numerical format (e.g., 0 and 1) to be used in models but we must ensure that the level of measurement of the data doesn�t change. �	Types of Learning: o	Supervised Learning: This approach is used when the response variable 'y' is known and available in the dataset. The model learns from this labeled data. o	Unsupervised Learning: When 'y' is unavailable, this method is used. The goal is to find patterns or structures within the data, often by creating clusters based on the distances between data points and then labeling those clusters.","The Four Levels of Measurement:
Data can be classified into four levels, each building upon the last.
1. Nominal Level
This is the simplest and most basic level of measurement.
�	Definition: Nominal data is used to label variables into distinct categories without any quantitative value or order. The data is simply classified.
�	Examples:
o	Colors such as red, blue, and green.
o	Gender (e.g., Male/Female).
�	Properties: The categories are mutually exclusive (an observation can only belong to one category), but they cannot be logically ranked or ordered.
�	Permissible Operations: You can count the number of items in each category (frequency) and identify the most frequent category (the mode). In machine learning, nominal data is often used for classification problems. To be used in many algorithms, it is often converted into a numerical format keeping into mind that one must not change the level of measurement.
2. Ordinal Level
This level incorporates the concept of order into the data.
�	Definition: Ordinal data involves categories that have a natural, meaningful order or rank.
�	Example:
Academic grades like AP, AA, and AB can be ordered from highest to lowest.
�	Properties: While we know the relative ranking of categories, the exact difference between them is unknown or unequal. For instance, the difference in performance between an ""AP"" and ""AA"" grade is not necessarily the same as between an ""AA"" and ""AB"" grade.
�	Permissible Operations: You can perform the same operations as with nominal data (frequency, mode), but you can also identify the median (the middle value).
3. Interval Level
This level introduces the concept of equal, measurable intervals between data points.
�	Definition: Interval data is continuous, can be ordered, and the difference between two values is meaningful and consistent.
�	Example:
o	Temperature in Celsius. The difference between 10�C and 20�C is the same as the difference between 20�C and 30�C.
�	Properties: Interval data has a significant drawback: the zero point is arbitrary and does not signify a true absence of the quantity being measured. 0�C is an arbitrary value and not a true zero.
�	Permissible Operations: Because the zero is arbitrary, you cannot make ratio comparisons. For example, you cannot say that 20�C is ""twice as hot"" as 10�C. However, you can perform addition and subtraction, and calculate the mean, median, and mode. In machine learning, interval data is often used in regression models.
4. Ratio Level
This is the most informative level of measurement.
�	Definition: The ratio level possesses all the properties of the interval level but includes a true and meaningful zero point.
�	Examples:
o	Height and weight.
o	Temperature on the Kelvin scale, where 0K signifies the absolute absence of thermal energy, making it a true zero.
o	Sales figures.
�	Properties: The presence of a true zero means that ratios between numbers are meaningful. For example, a weight of 100 kg is twice a weight of 50 kg.
�	Permissible Operations: All arithmetic operations�addition, subtraction, multiplication, and division�are possible and meaningful. In machine learning, ratio variables are typically used for regression tasks."
08-01-25 19:46,124,Levels of Measurement.,"Levels of measurement show how data points are ordered, quantified, and categorized. There are four such levels:

1. Nominal Level
Definition: Counts data points without any order.

examples: gender (male, female), blood group (A, B, AB, O), colors (red, blue , green)

Mathematical Interpretation: Only frequency/counting is possible.

Permitted operations: =, ?

2. Ordinal Level
Definition: Classifies data with a significant order, but the intervals among values are not equal or known.

Examples: Rank (1st, 2nd, 3rd) , grades (AP > AA > AB > BB)

Mathematical Meaning: Relative ranking, but no consistent difference between ranks. For example AP> AA > AB, but the difference between AP and AA (both are 10 grade points) is not the same as difference between AA and AB (10 and 9)

Allowed operations: =, ?, <, > 

3. Interval Level
Description: Numeric data with equal intervals between values, but no true zero point.

Examples: Temperature in Celsius or Fahrenheit 

Mathematical Meaning: Can add or subtract, but not multiply/divide for example, 2 C is not 2 times 1 C .

Allowed operations: =, ?, <, >, +, ?

4. Ratio Level (Highest level)
Definition: Numerical data with equal intervals and a zero point (zero indicates lack of the quantity).

Examples: Height, Weight, Age, Income, Temperature in Kelvin

Mathematical Interpretation: All mathematical operations are applicable.

Permitted operations: =, ?, <, >, +, ?, �, �
"
08-01-25 19:56,80,Level of measurement,"1) Nominal:- The nominal level of measurement data is classified into distinct categories that has no order or ranking, Each category is simply different from the others, and no category is considered greater or lesser than another. Ex:- gender, colors, types of animals, etc. Since these values are qualitative and discrete, we use classification techniques when analyzing nominal data. Arithmetic operations like addition or averaging are not applicable.

2) Ordinal Level:- Ordinal data consists of categories like nominal data, but here the categories have a meaningful order or ranking. However, the differences between the categories are not necessarily uniform or measurable. For instance, if we consider the levels of risk (low, medium, high) or educational qualifications (high school, undergraduate, postgraduate), we understand that one level ranks higher than another, but we cannot quantify how much higher. Ordinal data also falls under the classification domain, as it is discrete and qualitative. While we can compare values to see which is higher or lower, arithmetic operations like addition or subtraction are not valid.

3) Interval Level:- The interval level of measurement deals with quantitative data where the difference between values is meaningful and consistent. This means we can perform operations like addition and subtraction. However, the interval scale does not have a true zero point, which limits the range of mathematical operations we can perform. A classic example is temperature measured in Celsius or Fahrenheit. A temperature of 20�C is indeed warmer than 10�C, but it is not twice as warm, because 0�C does not indicate the absence of temperature. Since interval data is continuous, we typically apply regression techniques for analysis.

4) Ratio Level:- The ratio level of measurement includes all the properties of the interval scale, with the addition of a true, meaningful zero point. This allows for all arithmetic operations, including multiplication and division, to be valid. Examples of ratio-level data include height, weight, age, length, income and Temperature in Kelvin. Because the zero point indicates the absence of the quantity, saying that a person weighing 80 kg is twice as heavy as someone weighing 40 kg is meaningful. Ratio data is also continuous, and we use regression models to analyze such data effectively."
08-01-25 19:57,77,Machine learning ,"Machine learning is the process of picking up patterns based on the data that you have. These patterns are picked up to make predictions or decisions without hard coding the decisions. For example, a spam filter would contain patterns of spam messages which would be used to classify messages as spam or not. Unlike traditional code, ml system generalise from examples, making them scalable and adaptable. When applied at scale, ml can be used to find subtle patterns humans might not. Y= f(X) can be used to frame the ml task (where X is a vector containing all the independent variables). Approximating the function gives us the approximate answer Y to the ml task."
08-01-25 20:17,142,"Kinds of data we across, their properties, emthida to study them using ML, and intro to methods to train ML","nominal ,you cam only associate a count to that data, example, 5 boys, there is no quality to them, then is ordinal, along with count now a quality is also presnt, 5 AA grades, 7 AB grades and so on, then comes interval, here the data becomes continous, we can start to perform complex operations like derivatives and integration, but here the idea of 0 of that quantity is not defined, like temperature in degree celsius , 1?C is not half as hot as 2?C, here comes ratio, this includes even the 0, example, 0kg or 0cm, it means 0 weight and 0 length respectively, after this we learned about the kind of methods used for each kind of data, for nominal and ordinal (discrete types) we use classifcation and for the later (continuous types) two we use regression methods, what the two mean and their difference is still not clear enough to me, with time it'll become clear, we were also told about supervised and unsupervised learning, when we train the model by feeding it the output to their respective inputs, its supervised and not doing so means unsupervised, is what i have undesrtood right now, ill get a better understaning with time and as we start to actually perform it
"
08-01-25 20:20,16,"Level of Measurement, Classification, Regression","1) Level of Measurement
NOMINAL:
Discrete data points with no order or sense of comparison
Eg. Red, Blue, Green  , Gender

Ordinal:
Discrete data points with order or sense of comparsion
eg. Grades

Interval:
Continuous data points with a sense of comparison but they cannot be ratioed as absolute zero has no physical meaning (it has an arbitary meaning)
Eg Temperature(in C or F)

Ratio:
Continuous data points with a sense of comparison and can be ratioed as absolute zero has a physical meaning.
Eg. Height, Age,Temperature(in K)



2) y=f(x)
Given a set of x and y (input and output) ML helps us to find the function which correlates them. If x and y both are available it is called Supervised Learning. Else if only x is available we call it Unsupervised Learning. We need to explore the data to train our model in unsupervised learning.

If y is discrete, we tend to use Classification Models 
If y is continuous , we tend to use Regression Models
Sometimes we may also interchange the models in use case as in Random Forest

For Nominal data set, we use encoding to feed it in the model as model only uses maths.
For eg. we designed a switch in case of gender classification."
